"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BMM00048042","MANDALAY, BM","2019-01-01","0.0","22.1",,"13.0"
"BMM00048042","MANDALAY, BM","2019-01-02","0.0","19.8","28.5","12.4"
"BMM00048042","MANDALAY, BM","2019-01-03","0.0","22.0",,"12.7"
"BMM00048042","MANDALAY, BM","2019-01-04","0.0","22.5",,"13.4"
"BMM00048042","MANDALAY, BM","2019-01-05","0.0","22.0","28.8","13.6"
"BMM00048042","MANDALAY, BM","2019-01-06","0.0","22.4",,"13.8"
"BMM00048042","MANDALAY, BM","2019-01-07","3.0","21.6",,"16.8"
"BMM00048042","MANDALAY, BM","2019-01-08","42.9","20.1","21.2","18.5"
"BMM00048042","MANDALAY, BM","2019-01-09","0.0","23.4",,"18.6"
"BMM00048042","MANDALAY, BM","2019-01-10","0.0","22.0","29.0","16.8"
"BMM00048042","MANDALAY, BM","2019-01-11","0.0","22.8","28.8","15.5"
"BMM00048042","MANDALAY, BM","2019-01-12","0.0","22.9",,"15.3"
"BMM00048042","MANDALAY, BM","2019-01-13","0.0","21.2",,"14.5"
"BMM00048042","MANDALAY, BM","2019-01-14","0.0","22.4","28.5","14.7"
"BMM00048042","MANDALAY, BM","2019-01-15","0.0","22.7","29.0","14.8"
"BMM00048042","MANDALAY, BM","2019-01-16","0.0","21.3",,"12.8"
"BMM00048042","MANDALAY, BM","2019-01-17","0.0","21.6",,"13.0"
"BMM00048042","MANDALAY, BM","2019-01-18","0.0","22.8","29.5","14.3"
"BMM00048042","MANDALAY, BM","2019-01-19","0.0","23.2",,"14.6"
"BMM00048042","MANDALAY, BM","2019-01-20",,"25.0","29.8",
"BMM00048042","MANDALAY, BM","2019-01-21","0.0","21.6","30.0","13.8"
"BMM00048042","MANDALAY, BM","2019-01-22","0.0","23.1",,"13.9"
"BMM00048042","MANDALAY, BM","2019-01-23","0.0","23.1","30.2","14.0"
"BMM00048042","MANDALAY, BM","2019-01-24","0.0","23.2",,"13.5"
"BMM00048042","MANDALAY, BM","2019-01-25","0.0","22.8",,"13.0"
"BMM00048042","MANDALAY, BM","2019-01-26","0.0","23.3","30.8","13.9"
"BMM00048042","MANDALAY, BM","2019-01-27","0.0","24.7","32.2","15.5"
"BMM00048042","MANDALAY, BM","2019-01-28","0.0","24.9",,"16.5"
"BMM00048042","MANDALAY, BM","2019-01-29","0.0","25.4",,"16.5"
"BMM00048042","MANDALAY, BM","2019-01-30",,"22.2",,"16.8"
"BMM00048042","MANDALAY, BM","2019-01-31","0.0","22.1","28.5","13.2"
"BMM00048042","MANDALAY, BM","2019-02-01","0.0","22.9",,"13.7"
"BMM00048042","MANDALAY, BM","2019-02-02","0.0","23.9","31.5","14.0"
"BMM00048042","MANDALAY, BM","2019-02-04","0.0","25.1",,"14.8"
"BMM00048042","MANDALAY, BM","2019-02-05","0.0","24.5","32.5","13.5"
"BMM00048042","MANDALAY, BM","2019-02-06","0.0","24.6",,"13.6"
"BMM00048042","MANDALAY, BM","2019-02-07","0.0","24.9",,"14.2"
"BMM00048042","MANDALAY, BM","2019-02-08","0.0","25.1","32.7","14.5"
"BMM00048042","MANDALAY, BM","2019-02-09","0.0","25.9",,"16.0"
"BMM00048042","MANDALAY, BM","2019-02-10","0.0","24.9",,"19.7"
"BMM00048042","MANDALAY, BM","2019-02-11","0.0","26.3",,"18.2"
"BMM00048042","MANDALAY, BM","2019-02-12","0.0","26.7",,"17.3"
"BMM00048042","MANDALAY, BM","2019-02-13","0.0","27.2",,"17.5"
"BMM00048042","MANDALAY, BM","2019-02-14",,"29.4","35.0",
"BMM00048042","MANDALAY, BM","2019-02-15",,"30.0","35.0",
"BMM00048042","MANDALAY, BM","2019-02-16","0.0","28.5","35.5","19.2"
"BMM00048042","MANDALAY, BM","2019-02-17","0.0","28.3","33.5","19.5"
"BMM00048042","MANDALAY, BM","2019-02-18",,"27.4","31.5",
"BMM00048042","MANDALAY, BM","2019-02-19","0.0","26.6",,"17.5"
"BMM00048042","MANDALAY, BM","2019-02-20","0.0","27.3","33.8","17.8"
