"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-01",,"25.7",,"15.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-02",,"25.3","31.8","15.9"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-03",,"25.5","32.5","14.2"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-04",,"25.6",,"12.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-05",,"25.9",,"17.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-06",,"28.0","34.2","17.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-07",,"25.4","31.8","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-08",,"22.7",,"20.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-09",,"25.7",,"16.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-10",,"26.6",,"18.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-11",,"26.4",,"19.7"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-12",,"26.7","32.5","19.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-13",,"26.0",,"19.2"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-14",,"26.6","33.3","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-15",,"25.4",,"16.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-16",,"24.4",,"16.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-17",,"24.1",,"14.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-18",,"25.6","32.8","15.3"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-19",,"26.4",,"16.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-20",,"26.1","33.3",
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-21",,"24.7","33.0","16.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-22",,"25.3",,"13.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-23",,"25.3","32.7","16.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-24",,"25.7",,"14.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-25",,"25.7",,"14.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-26",,"26.3","33.0","17.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-27",,"27.0",,"15.7"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-28",,"26.5",,"16.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-29",,"26.1",,"16.4"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-30",,"26.2","32.8","14.7"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-01-31",,"25.1","32.2","16.2"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-01",,"25.7",,"16.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-02",,"26.6","34.5","16.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-03",,"26.4",,"16.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-04",,"27.3",,"17.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-05",,"27.2",,"15.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-06",,"27.4",,"16.2"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-07",,"27.6",,"16.7"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-08",,"27.3","36.0",
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-09",,"27.7","36.0","15.2"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-10",,"28.1",,"16.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-11",,"27.8",,"16.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-12",,"28.3","36.2","18.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-13",,"28.5","36.4","19.8"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-14",,"28.9",,
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-15",,"28.6","36.0","17.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-16",,"28.2","35.8","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-17",,"27.6",,"19.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-18",,"27.6",,
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-19",,"27.5",,
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-20",,"27.2","35.0","16.7"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-21",,"27.6","36.5","17.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-22",,"27.8","36.5","17.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-23",,"27.7","36.5","17.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-24",,"27.9","36.2","18.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-25",,"28.1",,"19.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-26",,"28.3","36.7","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-27",,"28.2","36.2","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-02-28",,"28.3",,"19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-01",,"28.5","36.7","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-02",,"28.8","36.4","19.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-03",,"28.1","36.8","15.5"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-04",,"27.8","36.0","17.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-05",,"27.1",,"17.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-06",,"27.7","35.0","16.2"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-07",,"28.1",,"18.0"
"BMM00048097","YANGON INTERNATIONAL, BM","2019-03-08",,"28.4","35.0","20.0"
